AN_BASE,CD_PROGRAMA_IES,NM_PROGRAMA_IES,NM_PROGRAMA_IDIOMA,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,CS_STATUS_JURIDICO,DS_DEPENDENCIA_ADMINISTRATIVA,DS_ORGANIZACAO_ACADEMICA,NM_GRANDE_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,NM_AREA_AVALIACAO,NM_GRAU_PROGRAMA,SG_UF_PROGRAMA,NM_MUNICIPIO_PROGRAMA_IES,CD_CONCEITO_PROGRAMA,ANO_INICIO_PROGRAMA,NM_MODALIDADE_PROGRAMA,NM_REGIAO,SG_ENTIDADE_ENSINO_REDE,IN_REDE
2015,33001014040P5,SUSTENTABILIDADE NA GESTÃO AMBIENTAL,PROFESSIONAL MASTER DEGREE IN SUSTAINABILITY,UFSCAR,UNIVERSIDADE FEDERAL DE SÃO CARLOS,FEDERAL,PÚBLICO,UNIVERSIDADE,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,MESTRADO PROFISSIONAL,SP,SOROCABA,3,2011,PROFISSIONAL,SUDESTE,NA,NÃO
2015,33001014041P1,ESTUDOS DE LITERATURA,LITERARY STUDIES,UFSCAR,UNIVERSIDADE FEDERAL DE SÃO CARLOS,FEDERAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS / LINGUÍSTICA,MESTRADO,SP,SÃO CARLOS,3,2011,ACADÊMICO,SUDESTE,NA,NÃO
2015,33001014042P8,BIOTECNOLOGIA E MONITORAMENTO AMBIENTAL,BIOTECHNOLOGY AND ENVIRONMENTAL MONITORING,UFSCAR,UNIVERSIDADE FEDERAL DE SÃO CARLOS,FEDERAL,PÚBLICO,UNIVERSIDADE,MULTIDISCIPLINAR,BIOTECNOLOGIA,BIOTECNOLOGIA,MESTRADO,SP,SOROCABA,3,2012,ACADÊMICO,SUDESTE,NA,NÃO
2015,33001014043P4,EDUCAÇÃO,MASTER'S PROGRAM IN EDUCATION,UFSCAR,UNIVERSIDADE FEDERAL DE SÃO CARLOS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,MESTRADO,SP,SOROCABA,3,2012,ACADÊMICO,SUDESTE,NA,NÃO
2015,33001014044P0,CIÊNCIA DA COMPUTAÇÃO,COMPUTER SCIENCE,UFSCAR,UNIVERSIDADE FEDERAL DE SÃO CARLOS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS EXATAS E DA TERRA,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,MESTRADO,SP,SOROCABA,3,2012,ACADÊMICO,SUDESTE,NA,NÃO
2015,33001014045P7,ESTATÍSTICA - UFSCAR/USP,STATISTICS,UFSCAR,UNIVERSIDADE FEDERAL DE SÃO CARLOS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS EXATAS E DA TERRA,PROBABILIDADE E ESTATÍSTICA,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,MESTRADO/DOUTORADO,SP,SÃO CARLOS,4,2013,ACADÊMICO,SUDESTE,NA,NÃO
2015,33001014046P3,GESTÃO DE ORGANIZAÇÕES E SISTEMAS PÚBLICOS,MANAGEMENT OF ORGANIZATIONS AND PUBLIC SYSTEMS,UFSCAR,UNIVERSIDADE FEDERAL DE SÃO CARLOS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS SOCIAIS APLICADAS,ADMINISTRAÇÃO,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",MESTRADO PROFISSIONAL,SP,SÃO CARLOS,3,2013,PROFISSIONAL,SUDESTE,NA,NÃO
2015,33001014047P0,CIÊNCIAS AMBIENTAIS,ENVIRONMENTAL SCIENCES,UFSCAR,UNIVERSIDADE FEDERAL DE SÃO CARLOS,FEDERAL,PÚBLICO,UNIVERSIDADE,MULTIDISCIPLINAR,CIÊNCIAS AMBIENTAIS,CIÊNCIAS AMBIENTAIS,MESTRADO/DOUTORADO,SP,SÃO CARLOS,4,2013,ACADÊMICO,SUDESTE,NA,NÃO
2015,33001014048P6,CONSERVAÇÃO DA FAUNA,WILDLIFE CONSERVATION,UFSCAR,UNIVERSIDADE FEDERAL DE SÃO CARLOS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS BIOLÓGICAS,ZOOLOGIA,BIODIVERSIDADE,MESTRADO PROFISSIONAL,SP,SÃO CARLOS,3,2013,PROFISSIONAL,SUDESTE,NA,NÃO
2015,31003010077P7,ENGENHARIA MECÂNICA - VOLTA REDONDA,MECHANICAL ENGINEERING GRADUATE PROGRAM,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,FEDERAL,PÚBLICO,NÃO INFORMADO,ENGENHARIAS,ENGENHARIA MECÂNICA,ENGENHARIAS III,MESTRADO,RJ,VOLTA REDONDA,3,2011,ACADÊMICO,SUDESTE,NA,NÃO
2015,31003010078P3,ADMINISTRAÇÃO,POST-GRADUATE PROGRAM IN ADMINISTARTION,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,FEDERAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS SOCIAIS APLICADAS,ADMINISTRAÇÃO,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",MESTRADO,RJ,NITERÓI,3,2011,ACADÊMICO,SUDESTE,NA,NÃO
2015,31003010079P0,CIÊNCIAS E BIOTECNOLOGIA,POST-GRADUATE PROGRAM IN SCIENCES AND BIOTECHNOLOGY,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,FEDERAL,PÚBLICO,NÃO INFORMADO,MULTIDISCIPLINAR,BIOTECNOLOGIA,BIOTECNOLOGIA,MESTRADO/DOUTORADO,RJ,NITERÓI,4,2011,ACADÊMICO,SUDESTE,NA,NÃO
2015,31003010080P8,DIREITO CONSTITUCIONAL,POST-GRADUATION PROGRAM IN CONSTITUTIONAL LAW,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,FEDERAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS SOCIAIS APLICADAS,DIREITO,DIREITO,MESTRADO,RJ,NITERÓI,3,2011,ACADÊMICO,SUDESTE,NA,NÃO
2015,31003010081P4,FILOSOFIA,GRADUATE PROGRAM IN PHILOSOPHY,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,FEDERAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS HUMANAS,FILOSOFIA,FILOSOFIA / TEOLOGIA:SUBCOMISSÃO FILOSOFIA,MESTRADO,RJ,NITERÓI,3,2011,ACADÊMICO,SUDESTE,NA,NÃO
2015,31003010082P0,ADMINISTRAÇÃO E GESTÃO DA ASSISTÊNCIA FARMACÊUTICA,PHARMACEUTICAL ASSISTANCE MANAGEMENT,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,FEDERAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS DA SAÚDE,FARMÁCIA,FARMÁCIA,MESTRADO PROFISSIONAL,RJ,NITERÓI,3,2012,PROFISSIONAL,SUDESTE,NA,NÃO
2015,31003010083P7,ENSINO NA SAÚDE:FORMAÇÃO DOCENTE INTERDISCIPLINAR PARA O SUS,EDUCATION IN HEALTH: INTERDISCIPLINARY TRAINING TEACHERS FOR SUS,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,FEDERAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS DA SAÚDE,ENFERMAGEM,ENFERMAGEM,MESTRADO PROFISSIONAL,RJ,NITERÓI,3,2011,PROFISSIONAL,SUDESTE,NA,NÃO
2015,31003010084P3,SERVIÇO SOCIAL E DESENVOLVIMENTO REGIONAL,PROGRAMME POSTGRADUATE ACADEMIC MASTER IN SOCIAL WORK AND REGIONAL DEVELOPMENT,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,FEDERAL,PÚBLICO,NÃO INFORMADO,CIÊNCIAS SOCIAIS APLICADAS,SERVIÇO SOCIAL,SERVIÇO SOCIAL,MESTRADO,RJ,NITERÓI,3,2012,ACADÊMICO,SUDESTE,NA,NÃO
2015,31003010085P0,ENSINO DE CIÊNCIAS DA NATUREZA,POSTGRADUATE PROGRAM IN NATURAL SCIENCES LEARNING,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,FEDERAL,PÚBLICO,NÃO INFORMADO,MULTIDISCIPLINAR,ENSINO,ENSINO,MESTRADO PROFISSIONAL,RJ,NITERÓI,3,2012,PROFISSIONAL,SUDESTE,NA,NÃO
2015,32001010028P2,CIÊNCIAS DA INFORMAÇÃO,INFORMATION SCIENCE,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS SOCIAIS APLICADAS,CIÊNCIA DA INFORMAÇÃO,CIÊNCIAS SOCIAIS APLICADAS I,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,6,1976,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010029P9,ZOOTECNIA,ZOOTECHNY,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS AGRÁRIAS,ZOOTECNIA,ZOOTECNIA / RECURSOS PESQUEIROS,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,4,1969,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010031P3,CIÊNCIAS DE ALIMENTOS,GRADUATE PROGRAM IN FOOD SCIENCE,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS AGRÁRIAS,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,CIÊNCIA DE ALIMENTOS,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,4,1974,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010033P6,SOCIOLOGIA,SOCIOLOGY,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,5,1981,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010034P2,DEMOGRAFIA,PROGRAM OF DEMOGRAPHY,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS SOCIAIS APLICADAS,DEMOGRAFIA,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,7,1985,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010035P9,CIÊNCIAS DA SAÚDE,POST GRADUATE PROGRAM IN HEALTH SCIENCES - HEALTH OF CHILDREN AND ADOLESCENTS.,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS DA SAÚDE,MEDICINA,MEDICINA II,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,5,1987,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010036P5,ECOLOGIA (CONSERVAÇÃO E MANEJO DA VIDA SILVESTRE),"ECOLOGY, CONSERVATION AND WILDLIFE MANAGEMENT",UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,BIODIVERSIDADE,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,5,1989,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010037P1,GEOGRAFIA,GEOGRAPHY POSTGRADUATE PROGRAM,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS HUMANAS,GEOGRAFIA,GEOGRAFIA,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,5,1988,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010038P8,ENGENHARIA DE ESTRUTURAS,STRUCTURAL ENGINEERING GRADUATE PROGRAM - UFMG,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,ENGENHARIAS,ENGENHARIA CIVIL,ENGENHARIAS I,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,5,1988,ACADÊMICO,SUDESTE,NA,NÃO
2015,32001010039P4,GEOLOGIA,GEOLOGY,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS EXATAS E DA TERRA,GEOCIÊNCIAS,GEOCIÊNCIAS,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,4,1988,ACADÊMICO,SUDESTE,NA,NÃO
2015,32006012002P5,ENGENHARIA MECÂNICA,POSTGRADUATE PROGRAM IN MECHANICAL ENGINEERING AT THE FEDERAL UNIVERSITY OF UBERLÂNDIA,UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,FEDERAL,PÚBLICO,UNIVERSIDADE,ENGENHARIAS,ENGENHARIA MECÂNICA,ENGENHARIAS III,MESTRADO/DOUTORADO,MG,UBERLÂNDIA,7,1985,ACADÊMICO,SUDESTE,NA,NÃO
2015,32006012003P1,EDUCAÇÃO,PROGRAM OF GRADUATE EDUCATION,UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,MESTRADO/DOUTORADO,MG,UBERLÂNDIA,5,1989,ACADÊMICO,SUDESTE,NA,NÃO
2015,32006012004P8,IMUNOLOGIA E PARASITOLOGIA APLICADAS,GRADUATE PROGRAM IN APPLIED IMMUNOLOGY AND PARASITOLOGY,UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS BIOLÓGICAS,IMUNOLOGIA,CIÊNCIAS BIOLÓGICAS III,MESTRADO/DOUTORADO,MG,UBERLÂNDIA,6,1992,ACADÊMICO,SUDESTE,NA,NÃO
2015,32006012005P4,ENGENHARIA QUÍMICA,CHEMICAL ENGINEERING,UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,FEDERAL,PÚBLICO,UNIVERSIDADE,ENGENHARIAS,ENGENHARIA QUÍMICA,ENGENHARIAS II,MESTRADO/DOUTORADO,MG,UBERLÂNDIA,5,1993,ACADÊMICO,SUDESTE,NA,NÃO
2015,32006012006P0,GENÉTICA E BIOQUÍMICA,GRADUATE PROGRAM IN GENETICS AND BIOCHEMISTRY,UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS BIOLÓGICAS,GENÉTICA,CIÊNCIAS BIOLÓGICAS I,MESTRADO/DOUTORADO,MG,UBERLÂNDIA,5,1994,ACADÊMICO,SUDESTE,NA,NÃO
2015,32006012007P7,ESTUDOS LINGÜÍSTICOS,LINGUISTIC STUDIES,UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,FEDERAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",LINGÜÍSTICA,LETRAS / LINGUÍSTICA,MESTRADO/DOUTORADO,MG,UBERLÂNDIA,4,1995,ACADÊMICO,SUDESTE,NA,NÃO
2015,32006012008P3,CIÊNCIAS DA SAÚDE,POSTGRADUATE PROGRAM IN HEALTH SCIENCES,UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS DA SAÚDE,MEDICINA,MEDICINA I,MESTRADO/DOUTORADO,MG,UBERLÂNDIA,4,1996,ACADÊMICO,SUDESTE,NA,NÃO
2015,32006012009P0,ECONOMIA,GRADUATE PROGRAM IN ECONOMICS,UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS SOCIAIS APLICADAS,ECONOMIA,ECONOMIA,MESTRADO/DOUTORADO,MG,UBERLÂNDIA,4,1996,ACADÊMICO,SUDESTE,NA,NÃO
2015,32006012010P8,GEOGRAFIA,GEOGRAPHY,UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS HUMANAS,GEOGRAFIA,GEOGRAFIA,MESTRADO/DOUTORADO,MG,UBERLÂNDIA,5,1998,ACADÊMICO,SUDESTE,NA,NÃO
2015,32006012011P4,QUÍMICA,CHEMISTRY GRADUATE PROGRAM,UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS EXATAS E DA TERRA,QUÍMICA,QUÍMICA,MESTRADO/DOUTORADO,MG,UBERLÂNDIA,5,1998,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010096P7,CIÊNCIAS DA COMUNICAÇÃO,COMMUNICATIONS SCIENCES,USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS SOCIAIS APLICADAS,COMUNICAÇÃO,CIÊNCIAS SOCIAIS APLICADAS I,MESTRADO/DOUTORADO,SP,SÃO PAULO,5,1972,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010097P3,ARQUITETURA E URBANISMO,ARCHITECTURE AND URBANISM,USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS SOCIAIS APLICADAS,ARQUITETURA E URBANISMO,ARQUITETURA E URBANISMO,MESTRADO/DOUTORADO,SP,SÃO PAULO,5,1972,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010098P0,NUTRIÇÃO E PRODUÇÃO ANIMAL,ANIMAL NUTRITION AND PRODUCTION,USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS AGRÁRIAS,ZOOTECNIA,ZOOTECNIA / RECURSOS PESQUEIROS,MESTRADO/DOUTORADO,SP,PIRASSUNUNGA,4,1978,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010099P6,ANATOMIA DOS ANIMAIS DOMÉSTICOS E SILVESTRES,ANATOMY OF DOMESTIC AND WILD ANIMALS,USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS AGRÁRIAS,MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA,MESTRADO/DOUTORADO,SP,SÃO PAULO,7,1976,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010101P0,CIÊNCIAS DOS ALIMENTOS,FOOD SCIENCE,USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS AGRÁRIAS,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,CIÊNCIA DE ALIMENTOS,MESTRADO/DOUTORADO,SP,SÃO PAULO,7,1970,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010103P3,LINGÜÍSTICA,LINGUISTIC,USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",LINGÜÍSTICA,LETRAS / LINGUÍSTICA,MESTRADO/DOUTORADO,SP,SÃO PAULO,7,1971,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010104P0,"LETRAS (LÍNGUA, LITERATURA E CULTURA ITALIANAS)","ITALIAN LANGUAGE, LITERATURE & CULTURE",USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS / LINGUÍSTICA,MESTRADO/DOUTORADO,SP,SÃO PAULO,3,1975,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010105P6,LETRAS (LÍNGUA E LITERATURA ALEMÃ),POSTGRADUATE PROGRAM IN GERMAN LANGUAGE AND LITERATURE,USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS / LINGUÍSTICA,MESTRADO/DOUTORADO,SP,SÃO PAULO,5,1971,ACADÊMICO,SUDESTE,NA,NÃO
2015,33002010106P2,LETRAS (LETRAS CLÁSSICAS),CLASSICS,USP,UNIVERSIDADE DE SÃO PAULO,ESTADUAL,PÚBLICO,UNIVERSIDADE,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS / LINGUÍSTICA,MESTRADO/DOUTORADO,SP,SÃO PAULO,4,1971,ACADÊMICO,SUDESTE,NA,NÃO
2015,33103011003P2,PRÁTICAS DOCENTES NO ENSINO FUNDAMENTAL,PRACTICAL TEACHERS IN ELEMENTARY EDUCATION,UNIMES,UNIVERSIDADE METROPOLITANA DE SANTOS,PARTICULAR,PRIVADO,NÃO INFORMADO,MULTIDISCIPLINAR,ENSINO,ENSINO,MESTRADO PROFISSIONAL,SP,SANTOS,3,2015,PROFISSIONAL,SUDESTE,NA,NÃO
2015,33105014001P2,SISTEMA CONSTITUCIONAL DE GARANTIA DE DIREITOS,CONSTITUTIONAL RIGHTS ASSURANCE SYSTEM,ITE,CENTRO UNIVERSITÁRIO DE BAURU,PARTICULAR,PRIVADO,NÃO INFORMADO,CIÊNCIAS SOCIAIS APLICADAS,DIREITO,DIREITO,MESTRADO/DOUTORADO,SP,BAURU,4,1998,ACADÊMICO,SUDESTE,NA,NÃO
2015,32008015009P2,ODONTOLOGIA,GRADUATE PROGRAM IN DENTISTRY,PUC/MG,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PARTICULAR,PRIVADO,UNIVERSIDADE,CIÊNCIAS DA SAÚDE,ODONTOLOGIA,ODONTOLOGIA,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,4,2002,ACADÊMICO,SUDESTE,NA,NÃO
2015,32008015010P0,ADMINISTRAÇÃO,THE MANAGEMENT POSTGRADUATE PROGRAM OF PUC MINAS (PPGA),PUC/MG,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PARTICULAR,PRIVADO,UNIVERSIDADE,CIÊNCIAS SOCIAIS APLICADAS,ADMINISTRAÇÃO,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",MESTRADO PROFISSIONAL,MG,BELO HORIZONTE,5,2000,PROFISSIONAL,SUDESTE,NA,NÃO
2015,32008015011P7,INFORMÁTICA,INFORMATICS,PUC/MG,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PARTICULAR,PRIVADO,UNIVERSIDADE,CIÊNCIAS EXATAS E DA TERRA,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,MESTRADO,MG,BELO HORIZONTE,4,2005,ACADÊMICO,SUDESTE,NA,NÃO
2015,32008015012P3,PSICOLOGIA,GRADUATE PROGRAM IN PSYCHOLOGY,PUC/MG,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PARTICULAR,PRIVADO,UNIVERSIDADE,CIÊNCIAS HUMANAS,PSICOLOGIA,PSICOLOGIA,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,4,2004,ACADÊMICO,SUDESTE,NA,NÃO
2015,32008015013P0,ENSINO,SCIENCE AND MATHEMATICS MASTERS PROGRAM,PUC/MG,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PARTICULAR,PRIVADO,UNIVERSIDADE,MULTIDISCIPLINAR,ENSINO,ENSINO,MESTRADO PROFISSIONAL,MG,BELO HORIZONTE,4,2005,PROFISSIONAL,SUDESTE,NA,NÃO
2015,32008015014P6,ODONTOLOGIA,GRADUATE PROGRAM IN DENTISTRY,PUC/MG,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PARTICULAR,PRIVADO,UNIVERSIDADE,CIÊNCIAS DA SAÚDE,ODONTOLOGIA,ODONTOLOGIA,MESTRADO PROFISSIONAL,MG,BELO HORIZONTE,4,1999,PROFISSIONAL,SUDESTE,NA,NÃO
2015,32008015015P2,ADMINISTRAÇÃO,THE MANAGEMENT POSTGRADUATE PROGRAM OF PUC MINAS (PPGA),PUC/MG,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PARTICULAR,PRIVADO,UNIVERSIDADE,CIÊNCIAS SOCIAIS APLICADAS,ADMINISTRAÇÃO,"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO",MESTRADO/DOUTORADO,MG,BELO HORIZONTE,4,2007,ACADÊMICO,SUDESTE,NA,NÃO
2015,32008015016P9,COMUNICAÇÃO SOCIAL: INTERAÇÕES MIDIÁTICAS,COMMUNICATION STUDIES GRADUATE PROGRAM: MEDIA INTERACTION,PUC/MG,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PARTICULAR,PRIVADO,UNIVERSIDADE,CIÊNCIAS SOCIAIS APLICADAS,COMUNICAÇÃO,CIÊNCIAS SOCIAIS APLICADAS I,MESTRADO,MG,BELO HORIZONTE,4,2007,ACADÊMICO,SUDESTE,NA,NÃO
2015,32008015017P5,RELAÇÕES INTERNACIONAIS: POLÍTICA INTERNACIONAL,GRADUATE PROGRAM IN INTERNATIONAL RELATIONS,PUC/MG,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PARTICULAR,PRIVADO,UNIVERSIDADE,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,MESTRADO/DOUTORADO,MG,BELO HORIZONTE,5,2007,ACADÊMICO,SUDESTE,NA,NÃO
2015,32008015019P8,CIÊNCIAS DA RELIGIÃO,PROGRAM IN RELIGIOUS STUDIES,PUC/MG,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PARTICULAR,PRIVADO,UNIVERSIDADE,CIÊNCIAS HUMANAS,TEOLOGIA,FILOSOFIA/TEOLOGIA:SUBCOMISSÃO TEOLOGIA,MESTRADO,MG,BELO HORIZONTE,4,2008,ACADÊMICO,SUDESTE,NA,NÃO
2015,32009011003P0,GESTÃO INTEGRADA DO TERRITÓRIO,GRADUATE PROGRAM IN INTERDISCIPLINARY TERRITORIAL STUDIES,UNIVALE,UNIVERSIDADE VALE DO RIO DOCE,PARTICULAR,PRIVADO,UNIVERSIDADE,MULTIDISCIPLINAR,INTERDISCIPLINAR,INTERDISCIPLINAR,MESTRADO,MG,GOVERNADOR VALADARES,3,2009,ACADÊMICO,SUDESTE,NA,NÃO
2015,32010010002P2,PRODUÇÃO VEGETAL,PLANT PRODUCTION,UFVJM,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,FEDERAL,PÚBLICO,UNIVERSIDADE,CIÊNCIAS AGRÁRIAS,AGRONOMIA,CIÊNCIAS AGRÁRIAS I,MESTRADO/DOUTORADO,MG,DIAMANTINA,4,2006,ACADÊMICO,SUDESTE,NA,NÃO
